raw_label	aadr_isogg	tree_label
B219	N1a1a1a1a3a2	N1a1a1a1a3a2
CT	CT	CT
CTS10743	I2a1b1a2b1a~	I2a1b1a2b1a~
CTS4348	I2a1b1a2b1~	I2a1b1a2b1~
CTS4472	G2a2b2a1a1c1a	G2a2b2a1a1c1a
F	F	F
F4205	N1a1a1a1a3a	N1a1a1a1a3a
F4218	N1a1a1a1a	N1a1a1a1a
FGC725	G2a1a1a1a1a1	G2a1a1a1a1a1
G-BY27899	G2a2b2a1a1b	G2a2b2a1a1b
G-S23438	G2a2b2a1a1b1a1a2a1a1	G2a2b2a1a1b1a1a2a1a1
G-Z16775	G2a2b2a1a1b1a1a2b	G2a2b2a1a1b1a1a2b
G-Z1823	G2a2b2a1a1b	G2a2b2a1a1b
H-P96	H	H
HIJK	HIJK	HIJK
I	I	I
I-A8742	I2a1a2a1a2a	I2a1a2a1a2a
I-BY37269	I2a1a2a1a2a	I2a1a2a1a2a
I-CTS10057	I2a1b1a2	I2a1b1a2
I-CTS11603	I1a1b1b~	I1a1b1b~
I-CTS616	I2a1b1a	I2a1b1a
I-DF29	I1	I1
I-DF29	I1a	I1a
I-L1193	I2a1b1a1a1b	I2a1b1a1a1b
I-L1195	I2a1b1a1a1	I2a1b1a1a1
I-L1425	I2a1b1a2b1a2b	I2a1b1a2b1a2b
I-L1498	I2a1a2a1a	I2a1a2a1a
I-L160	I2a1a1a1a1	I2a1a1a1a1
I-L161	I2a1a2	I2a1a2
I-L623	I2a1b1a2b2	I2a1b1a2b2
I-M284	I2a1b1a1a	I2a1b1a1a
I-M423	I2a1a2	I2a1a2
I-M436	I2a1b	I2a1b
I-P109	I1a1b1a1	I1a1b1a1
I-PF692	I2a1b1b	I2a1b1b
I-S21825	I2a1a1b	I2a1a1b
I-S2555	I2a1b2	I2a1b2
I-Y10626	I2a1b1a1a2~	I2a1b1a1a2~
I-Y10720	I2a1b2	I2a1b2
I-Y15022	I1a1b1a3a~	I1a1b1a3a~
I-Y3000	I1a2a1a1d1a1a	I1a2a1a1d1a1a
I-Y3104	I2a1a2	I2a1a2
I-Y3259	I2a1b1	I2a1b1
I-Y3684	I2a1b1a1a1b1a	I2a1b1a1a1b1a
I-Y3709	I2a1b1a1a1	I2a1b1a1a1
I-Y3712	I2a1b1a1a1b	I2a1b1a1a1b
I-Y3749	I2a1a2	I2a1a2
I-Y6098	I2a1b1b	I2a1b1b
I-Z105	I2a1a1a1a1a1~	I2a1a1a1a1a1~
I-Z2336	I1	I1
I-Z59	I1	I1
I1	I1	I1
I2	I2	I2
I2d-Y3710	I2a2a	I2a2a
J-PF7321	J2b1	J2b1
L151/PF6542	R1b1a1b1a1a	R1b1a1b1a1a
L160	I2a1a1a1a1	I2a1a1a1a1
L160/PF4013/S184	I2a1a1a1a1	I2a1a1a1a1
L618	E1b1b1a1b1	E1b1b1a1b1
M2018	N1a1a1a1a	N1a1a1a1a
M223	I2a1b1	I2a1b1
M269	R1b1a1b	R1b1a1b
M423	I2a1a2	I2a1a2
P-P337	P1	P1
P310/PF6546/S129	R1b1a1b1a1	R1b1a1b1a1
P312	R1b1a1b1a1a2	R1b1a1b1a1a2
P37.2	I2a1a	I2a1a
P37.2/PF4004	I2a1a	I2a1a
P96	H2	H2
PF3177	G2a2a1a	G2a2a1a
PF6570	R1b1a1b1a1a2b	R1b1a1b1a1a2b
Q-L334,Q-L330	Q1a2a1c	Q1a2a1c
Q-L527	Q1b2b1~	Q1b2b1~
R-A11001	R1b1a1b1a1a2c1	R1b1a1b1a1a2c1
R-A1101	R1b1a1b1a1a2c1a1k	R1b1a1b1a1a2c1a1k
R-A11676	R1b1a1b1a1a2c1	R1b1a1b1a1a2c1
R-A14	R1b1a1b1a1a2c1a4b2b1	R1b1a1b1a1a2c1a4b2b1
R-A286	R1b1a1b1a1a2c1a3b	R1b1a1b1a1a2c1a3b
R-A7208	R1b1a1b1a1a1c1a2b	R1b1a1b1a1a1c1a2b
R-BY11117	R1b1a1b1a1a2c1a5c2	R1b1a1b1a1a2c1a5c2
R-BY173541	R1b1a1b1a1a2c1a1k	R1b1a1b1a1a2c1a1k
R-BY23570	R1b1a1b1a1a2c1a1d	R1b1a1b1a1a2c1a1d
R-BY23924	R1b1a1b1a1a2c1a1a	R1b1a1b1a1a2c1a1a
R-BY28643	R1b1a1b1a1a2c1	R1b1a1b1a1a2c1
R-BY33481	R1b1a1b1a1a2c1a6a	R1b1a1b1a1a2c1a6a
R-BY9003	R1b1a1b1a1a2c1	R1b1a1b1a1a2c1
R-CTS241	R1b1a1b1a1a2c1a	R1b1a1b1a1a2c1a
R-CTS4466	R1b1a1b1a1a2c1a3a2	R1b1a1b1a1a2c1a3a2
R-CTS6919	R1b1a1b1a1a2c1b1	R1b1a1b1a1a2c1b1
R-DF1	R1b1a1b1a1a2c1a2	R1b1a1b1a1a2c1a2
R-DF109	R1b1a1b1a1a2c1a1a1a1a1a1a	R1b1a1b1a1a2c1a1a1a1a1a1a
R-DF13	R1b1a1b1a1a2c1	R1b1a1b1a1a2c1
R-DF21	R1b1a1b1a1a2c1a5	R1b1a1b1a1a2c1a5
R-DF23	R1b1a1b1a1a2c1a1a1a1	R1b1a1b1a1a2c1a1a1a1
